ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1,0.924970361,14.87456744,1,0.000552043,4,0.014041193,1453.992081,0.022866635,9567.335851,0.0001,1000
1,0.924940746,14.74274443,1,0.000630071,4,0.024757627,2869.022989,0.078616482,9234.399759,0.0001,1000
1,0.923837512,14.90201077,1,0.000533491,4,0.006438536,27.2686022,0.012034201,9477.74925,0.0001,1000
1,0.921519262,14.49039978,0.89,0.002433004,3,0.009196266,3112.989068,0.001070241,8481.764669,0.0001,1000
1,0.92049943,14.80072831,0.92,0.003408224,2,0.022675352,5220.479366,0.003201294,9127.767432,0.0001,1000
1,0.920095347,14.58032489,1,0.000741301,4,0.001511288,344.7467357,0.034502132,7993.432928,0.0001,1000
1,0.919944415,14.9145282,0.88,0.000914044,4,0.052328526,13.74675593,0.010079179,9370.807317,0.0001,1000
1,0.919582557,14.90200146,0.9,0.001837203,3,0.026472778,2930.433461,0.001998045,9962.860073,0.0001,1000
1,0.918995076,14.74841222,1,0.000733667,3,0.001636277,1224.482054,0.00523954,9202.917651,0.0001,1000
1,0.918570735,14.36189065,1,0.000922863,4,0.00113956,5132.201652,0.031122588,9653.219844,0.0001,1000
1,0.917143029,14.42452239,1,0.000866662,4,0.009491745,904.7410004,0.028981514,8434.144351,0.0001,1000
1,0.917052132,15.39127644,1,0.000328794,4,0.012498279,1018.31965,0.018624757,9698.502989,0.0001,1000
1,0.916047367,15.34106381,1,0.000404894,3,0.004681382,273.0353375,0.009563249,9980.372611,0.0001,1000
1,0.914808573,15.11980673,1,0.000504272,3,0.006681635,19.62157449,0.026458342,8540.23583,0.0001,1000
1,0.913832793,14.74777092,1,0.000623576,4,0.004068969,22.1894546,0.059106091,6446.615007,0.0001,1000
1,0.913525323,14.9620385,0.87,0.001243301,4,0.09517059,77.11088026,0.004798056,7993.804203,0.0001,1000
1,0.913398701,14.57610736,0.88,0.001214622,4,0.033080968,1568.673206,0.008814882,7980.251969,0.0001,1000
1,0.912788243,14.30428395,0.96,0.001347618,3,0.052195444,6468.704251,0.044050409,8469.437997,0.0001,1000
1,0.912238521,14.34166623,1,0.001102753,3,0.001339284,44.7176407,0.053805178,9796.554418,0.0001,1000
1,0.910904048,15.14191549,0.88,0.000681727,4,0.010283669,149.0180653,0.002658314,8193.644916,0.0001,1000
1,0.910335678,14.4391704,1,0.001000334,3,0.009334913,2409.953605,0.082939736,7806.989636,0.0001,1000
1,0.910287978,14.63825392,1,0.000699553,4,0.001956285,3489.842116,0.002433888,6547.900195,0.0001,1000
